Name Of Hotel,Rating,Location,Price AMD,Breakfast,Room,Outdoors,Ski,Activities,Food & Drink,Internet,Parking,Languages spoken,Wellness,Outdoor swimming pool,Spa
Hermonatun,9.4,Hermon,"15,000",Not Included,Budget Twin Room,Terrace | Garden,Doesn't have,Tour or class about local culture (Additional charge) | Themed dinner nights (Additional charge) | Walking tours (Additional charge),Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Bar | Restaurant,WiFi is available in the hotel rooms and is free of charge.,Secured parking,German | English | Russian,Doesn't have,Doesn't have,Doesn't have
Park-Hotel Khoren's Lake,8.9,Areni,"8,000",Not Included,Twin Room,Outdoor fireplace | BBQ facilities (Additional charge) | Terrace | Garden,Doesn't have,"Tour or class about local culture (Additional charge) | Temporary art galleries (Off-site, Additional charge) | Hiking (Off-site) | Fishing (Additional charge)",Fruits | Wine/champagne (Additional charge) | Special diet menus (on request),WiFi is available in all areas and is free of charge.,Parking garage | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Old Halidzor,9.1,Halidzor,"15,000",Included,Twin Room with Bathroom,Outdoor fireplace | Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Sun terrace | Barbecue | BBQ facilities | Terrace | Garden,Doesn't have,Tour or class about local culture | Walking tours | Beach | Badminton equipment | Public Bath | Open-air bath | Beachfront | Private beach area | Hiking | Fishing,Coffee house on site | Fruits | Wine/champagne (Additional charge) | Tea/Coffee maker,WiFi is available in the hotel rooms and is free of charge.,Electric vehicle charging station | Street parking | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Azoyan Holiday Resort,9.3,Sisian,"8,000",Included,Standard Twin Room,BBQ facilities | Garden,Doesn't have,Horse riding (Additional charge) | Hiking (Additional charge),Special diet menus (on request) | Breakfast in the room | Restaurant,WiFi is available in all areas and is free of charge.,Street parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Vanadzor Armenia Hotel,9.1,Vanadzor,"20,000",Not Included,Standard Single Room,Outdoor fireplace | Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Barbecue | BBQ facilities | Garden,Doesn't have,Horse riding | Hiking | Table tennis | Billiards | Games room,Wine/champagne (Additional charge) | Kid meals (Additional charge) | Special diet menus (on request) | Snack bar,WiFi is available in all areas and is free of charge.,Street parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Hotel Skazka,8.9,Ijevan,"12,000",Included,Twin Room with Shower,Outdoor fireplace | Picnic area | Outdoor dining area | Outdoor furniture | BBQ facilities | Garden,Doesn't have,Walking tours | Cycling | Hiking (Off-site) | Table tennis | Billiards (Additional charge) | Children's playground | Games room,Special diet menus (on request) | Breakfast in the room | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Ojakh,,Sarahartʼ,"28,000",Included,Deluxe Twin Room,Outdoor fireplace | Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Sun terrace | Private beach area | Barbecue | Private pool | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,Cooking class | Bike tours | Walking tours | Temporary art galleries | Beach | Badminton equipment | Tennis equipment | Kids' club | Snorkelling | Hiking | Karaoke | Table tennis | Children's playground | Games room | Fishing (Additional charge) | Tennis court,Coffee house on site | Fruits | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant | Minibar,WiFi is available in public areas and is free of charge.,Accessible parking,Russian,Sun umbrellas | Open-air bath,Doesn't have,Doesn't have
GuestHouse Anginé,8.5,Arjut,"20,000",Included,Deluxe Double Room,Outdoor dining area | Patio | Balcony,Doesn't have,Doesn't have,Restaurant | Tea/Coffee maker,No internet access available.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Ralina Restaurant and Hotel,7.8,Ararat,"17,000",Included,Large Double Room,Outdoor fireplace | Outdoor furniture | BBQ facilities | Terrace | Garden,Doesn't have,Temporary art galleries | Badminton equipment | Children's playground,Wine/champagne (Additional charge) | Kid meals (Additional charge) | Special diet menus (on request),WiFi is available in the hotel rooms and is free of charge.,,English | Russian,Sun umbrellas | Sun loungers or beach chairs,Doesn't have,Doesn't have
Khoreayi Dzor,8.8,Goris,"20,000",Not Included,Twin Room with Shower,Outdoor furniture | Garden,Doesn't have,Doesn't have,Kid meals | Bar | Restaurant,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Toros,9.5,Ashots'k',"4,550",Not Included,One-Bedroom Suite,Terrace | Garden,Doesn't have,Doesn't have,Bar | Restaurant,WiFi is available in the hotel rooms and is free of charge.,,English | French | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Major's House Hotel,9.2,Stepʼanavan,"40,000",Included,Standard King Room,Outdoor dining area | Outdoor furniture,Doesn't have,Doesn't have,Bar | Restaurant | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Garni Bread House,9.1,Garni,"10,000",Included,Small Single Room,Picnic area | Outdoor furniture | Garden,Doesn't have,Temporary art galleries,Wine/champagne (Additional charge) | Bar | Restaurant,WiFi is available in all areas and is free of charge.,Street parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Guest House Mary,9.7,Haghpat,"17,000",Included,Standard Twin Room with Garden View,Picnic area | Outdoor furniture | Sun terrace | BBQ facilities (Additional charge) | Terrace | Garden,Doesn't have,Live music/performance (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Evening entertainment | Horse riding (Additional charge) | Cycling | Hiking (Additional charge) | Karaoke,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid meals | Bar | Restaurant,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Green Paradise Guest House,9.9,Ijevan,"8,500",Not Included,Double Room,Outdoor fireplace | Picnic area | Outdoor furniture | Outdoor dining area | BBQ facilities (Additional charge) | Balcony | Terrace | Garden,Doesn't have,Live music/performance | Cooking class | Hiking (Additional charge) | Billiards | Games room,Coffee house on site,WiFi is available in the hotel rooms and is free of charge.,Street parking | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
PstAp 2 bedrooms in the Center of Yerevan,,Yerevan,"31,255",Not Included,One-Bedroom Apartment,Outdoor fireplace | Picnic area | Outdoor furniture | Balcony | Terrace | Garden,Doesn't have,Tour or class about local culture (Additional charge) | Happy hour | Walking tours (Additional charge) | Badminton equipment | Tennis equipment | Table tennis,Doesn't have,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,,Doesn't have,Doesn't have
Belleville,9,Ijevan,"14,400",Not Included,Large Double Room,Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Sun terrace | Barbecue | BBQ facilities | Terrace | Garden,Doesn't have,"Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Bike tours (Additional charge) | Walking tours | Yoga classes | Evening entertainment | Horse riding (Off-site, Additional charge) | Cycling (Off-site) | Hiking (Off-site)",Coffee house on site | Fruits | Wine/champagne (Additional charge) | Special diet menus (on request) | Snack bar | Tea/Coffee maker,No internet access available.,Accessible parking,English | Armenian | Portuguese | Russian,Doesn't have,Doesn't have,Doesn't have
Domes Town by ANGAR,9.2,Vahagnadzor,"39,920",Included,Deluxe Queen Room,Outdoor fireplace | Picnic area | Outdoor furniture | Sun terrace | BBQ facilities (Additional charge) | Terrace | Garden,Doesn't have,Live sport events (broadcast) | Live music/performance (Additional charge) | Cooking class (Additional charge) | Tour or class about local culture | Happy hour | Themed dinner nights (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Movie nights | Temporary art galleries (Additional charge) | Beach | Yoga classes | Open-air bath | Evening entertainment | Beachfront | Kids' club | Private beach area | Horse riding (Off-site) | Cycling (Off-site) | Hiking (Off-site) | Karaoke | Children's playground | Games room | Fishing (Off-site),Coffee house on site | Fruits | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Snack bar | Breakfast in the room | Bar | Restaurant,WiFi is available in the hotel rooms and is free of charge.,Street parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Hotel Hovit,9.6,Bagratashen,"15,000",Not Included,Double Room,Balcony,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,Armenian,,Doesn't have,Doesn't have
Noravank B&B,9.9,Chʼiva,"10,000",Included,Single Room with Bathroom,Outdoor fireplace | Picnic area | Sun terrace | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,Temporary art galleries | Horse riding | Hiking | Children's playground,Coffee house on site | Fruits | Wine/champagne,WiFi is available in the hotel rooms and is free of charge.,Parking garage,Russian,Doesn't have,Doesn't have,Doesn't have
Sofya,9.6,Goris,"15,300",Not Included,Twin Room with Balcony,Outdoor furniture | Sun terrace | Terrace,Doesn't have,Live sport events (broadcast) | Bike tours (Additional charge) | Walking tours (Additional charge) | Bicycle rental (additional charge) | Billiards (Additional charge),Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Snack bar | Breakfast in the room | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking | Parking garage | Secured parking,English | Russian,Hot tub/Jacuzzi (Additional charge) | Spa and wellness centre (Additional charge) | Sauna (Additional charge),Doesn't have,Doesn't have
Getap Restaurant & Hotel,8.9,Vahagnadzor,"27,000",Included,Family Room with Bathroom,Terrace | Garden,Doesn't have,Doesn't have,Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Hayq,9.8,Goris,"5,400",Not Included,Family Room,Doesn't have,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English,Doesn't have,Doesn't have,Doesn't have
Hostel Samuel,8.4,Agarak,"3,000",Not Included,Single Bed in Mixed Dormitory Room,Outdoor fireplace | Picnic area | Outdoor furniture | Sun terrace | BBQ facilities | Terrace | Garden,Doesn't have,Walking tours | Hiking | Games room | Fishing (Off-site),Coffee house on site | Fruits (Additional charge),WiFi is available in all areas and is free of charge.,,Arabic | English | Farsi | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Menua Resort,8.4,Gandzakʼar,"15,300",Not Included,Double Room with Balcony (2 Adults + 1 Child),Doesn't have,Doesn't have,Doesn't have,Restaurant,No internet access available.,,Russian,Doesn't have,Doesn't have,Doesn't have
Artabuynk House,,Artabuynkʼ,"10,800",Included,Double Room with Mountain View,Balcony,Doesn't have,Doesn't have,Doesn't have,WiFi is available in public areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Ofeli,9.1,Tsav,"15,000",Not Included,Budget Double Room,Outdoor fireplace | Barbecue | BBQ facilities | Terrace | Garden,Doesn't have,Cooking class (Additional charge) | Walking tours (Additional charge) | Badminton equipment | Cycling | Hiking (Additional charge) | Skiing,Coffee house on site | Fruits | Wine/champagne (Additional charge) | Kid meals (Additional charge) | Restaurant,WiFi is available in all areas and is free of charge.,Parking garage | Secured parking,English | Spanish | French | Russian,Sun loungers or beach chairs,Doesn't have,Doesn't have
Classy&Cozy Hostel,8.3,Yerevan,"3,000",Not Included,Bed in 8-Bed Male Dormitory Room,Garden,Doesn't have,Tour or class about local culture (Additional charge) | Themed dinner nights (Additional charge) | Walking tours (Additional charge) | Hiking (Additional charge),Coffee house on site | Wine/champagne (Additional charge) | Kid meals (Additional charge) | Special diet menus (on request) | Bar | Restaurant | Minibar,WiFi is available in public areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Home,9.8,Garni,"13,000",Not Included,Family Room with Bath,Outdoor fireplace | Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Barbecue | BBQ facilities | Patio | Terrace | Garden,Doesn't have,Live sport events (broadcast) | Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Themed dinner nights (Additional charge) | Walking tours (Additional charge) | Badminton equipment | Tennis equipment | Hiking (Additional charge) | Darts | Table tennis | Children's playground | Fishing (Additional charge),Fruits | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals | Special diet menus (on request) | Snack bar | Breakfast in the room | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking | Electric vehicle charging station,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Dzoratun,8.7,Dsegh,"15,000",Not Included,Double Room with Mountain View,Balcony | Terrace | Garden,Doesn't have,Doesn't have,Restaurant,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Mayisyan Kamurj Hotel,8.9,Ijevan,"20,000",Not Included,Twin Room with Balcony,Picnic area | Outdoor furniture | Sun terrace | Barbecue | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,Live music/performance (Additional charge) | Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Themed dinner nights (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Badminton equipment | Tennis equipment (Additional charge) | Evening entertainment (Additional charge) | Entertainment staff | Horse riding (Additional charge) | Cycling | Hiking | Table tennis | Billiards (Additional charge) | Children's playground | Games room,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid meals (Additional charge) | Special diet menus (on request) | Snack bar | Breakfast in the room | Bar | Restaurant,WiFi is available in all areas and is free of charge.,Street parking | Secured parking,English | Russian,Full body massage (Additional charge) | Hand massage (Additional charge) | Head massage (Additional charge) | Foot massage (Additional charge) | Neck massage (Additional charge) | Back massage (Additional charge) | Sun umbrellas | Massage (Additional charge),Doesn't have,Doesn't have
Apaga Resort,9,Ijevan,"44,895",Included,Deluxe Double Room,Picnic area | BBQ facilities | Terrace | Garden,Doesn't have,Cooking class (Additional charge) | Horse riding (Additional charge) | Table tennis | Sauna,Fruits | Wine/champagne | Kid meals | Special diet menus (on request) | Breakfast in the room | Bar,WiFi is available in all areas and is free of charge.,Street parking,English | French | Russian,,Doesn't have,Doesn't have
GLAMPING WOLF MOUNt,9.5,Margahovit,"30,000",Included,Standard Twin Room,Picnic area,Doesn't have,Nightclub/DJ (Additional charge) | Karaoke (Additional charge),Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid meals (Additional charge) | Bar | Tea/Coffee maker,No internet access available.,,Russian,Doesn't have,Doesn't have,Doesn't have
Gevorgyans Bed & Breakfast,9.5,Tatʼev,"5,355",Included,Triple Room,BBQ facilities | Garden,Doesn't have,Hiking,Doesn't have,WiFi is available in public areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Chamich Guesthouse,9.8,Debed,"15,500",Included,Small Double or Twin Room,Picnic area | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,Walking tours,Breakfast in the room | Tea/Coffee maker,No internet access available.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Dilijan Lost - Կորած Տեղ,,Tʼeghut,"3,000",Not Included,Tent,Picnic area | Outdoor furniture | Terrace | Garden,Doesn't have,Live sport events (broadcast) | Tour or class about local culture (Additional charge) | Happy hour | Bike tours (Additional charge) | Walking tours | Movie nights | Pub crawls (Additional charge) | Evening entertainment (Additional charge) | Hiking (Additional charge) | Games room | Fishing (Off-site),Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Getap in Bjni,8.5,Bjni,"9,775",Not Included,Deluxe Queen Room with Two Queen Beds,Picnic area | Outdoor furniture | Sun terrace | BBQ facilities | Balcony | Garden,Doesn't have,Tour or class about local culture (Additional charge) | Walking tours (Additional charge),Coffee house on site | Kid meals (Additional charge) | Special diet menus (on request) | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Bed and Breakfast John and Lena,9.6,Tatʼev,"7,000",Included,Budget Single Room,Sun terrace | BBQ facilities (Additional charge) | Terrace | Garden,Doesn't have,Horse riding (Additional charge) | Hiking (Additional charge) | Fishing (Additional charge),Special diet menus (on request) | Breakfast in the room | Restaurant,WiFi is available in public areas and is free of charge.,,Russian,Doesn't have,Doesn't have,Doesn't have
AMOJ B&B and Guest house,9.5,Alaverdi,"25,000",Included,Cottage,Balcony | Terrace | Garden,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Crystal Villa Hostel,7.9,Yerevan,"5,500",Not Included,Bed in 4-Bed Female Dormitory Room,Terrace | Garden,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,Russian,Doesn't have,Doesn't have,Doesn't have
Hotel Central,8.8,Jermuk,"22,000",Included,Standard Double Room,Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | BBQ facilities | Terrace | Garden,Doesn't have,Doesn't have,Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid meals (Additional charge) | Breakfast in the room,WiFi is available in all areas and is free of charge.,Street parking | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Black & Gold Hotel,9.3,Goris,"8,000",Not Included,Classic Triple Room,Doesn't have,Doesn't have,Tour or class about local culture (Additional charge) | Walking tours (Additional charge),Doesn't have,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Ave Zara,9.4,Vaghatin,"6,000",Included,Single Room,Picnic area | Outdoor furniture | Outdoor dining area | Sun terrace | Barbecue | BBQ facilities (Additional charge) | Balcony | Terrace | Garden,Doesn't have,Live sport events (broadcast) | Walking tours (Additional charge) | Pub crawls (Additional charge) | Karaoke,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid meals (Additional charge) | Special diet menus (on request) | Bar | Restaurant | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Tevra Guesthouse & Teahouse,9.5,Getahovit,"17,100",Not Included,Deluxe Double Room (2 Adults + 1 Child),Picnic area | Terrace | Garden,Doesn't have,Sauna,Coffee house on site | Fruits (Additional charge) | Bar,WiFi is available in public areas and is free of charge.,,English | Armenian | Russian,Sun umbrellas,Doesn't have,Doesn't have
HOTEL N1,9,Yerevan,"13,500",Not Included,Twin Room with Bath,Outdoor dining area | Barbecue | Balcony | Terrace | Garden,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,,Russian,Doesn't have,Doesn't have,Doesn't have
Zartonq,9.9,Tatʼev,"10,000",Included,Double Room,Doesn't have,Doesn't have,Doesn't have,Coffee house on site | Wine/champagne (Additional charge) | Minibar,No internet access available.,,Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Gosh hotel,8.5,Gosh,"9,950",Not Included,Twin Room,BBQ facilities | Terrace | Garden,Doesn't have,Tour or class about local culture | Walking tours (Additional charge),Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Breakfast in the room | Restaurant,No internet access available.,Accessible parking | Electric vehicle charging station | Parking garage | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Mountains’ home,,Khashtʼarrak,"6,300",Included,Double Room,Outdoor dining area | Barbecue | BBQ facilities | Terrace | Garden,Ski storage,Skiing | Hot tub,Bar,WiFi is available in the hotel rooms and is free of charge.,,Russian,Doesn't have,Doesn't have,Doesn't have
EleGaya Guest house,9.6,Ijevan,"12,000",Not Included,Twin Room with Garden View,Picnic area | Outdoor dining area | Barbecue | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,Hiking,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Special diet menus (on request) | Tea/Coffee maker,WiFi is available in public areas and is free of charge.,Street parking,Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
ALEX Hotel in Shinuhayr,8.2,Shinuhayr,"6,720",Included,Twin Room with Mountain View,Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Sun terrace | Barbecue | BBQ facilities | Terrace | Garden,Doesn't have,"Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Bike tours (Additional charge) | Walking tours | Yoga classes | Evening entertainment | Horse riding (Off-site, Additional charge) | Cycling (Off-site) | Hiking (Off-site)",Coffee house on site | Fruits | Wine/champagne (Additional charge) | Special diet menus (on request) | Snack bar | Tea/Coffee maker,No internet access available.,Accessible parking,English | Armenian | Portuguese | Russian,Doesn't have,Doesn't have,Doesn't have
V&V Hotel,9.1,Gyulagarak,"15,000",Included,Double Room with Terrace,Outdoor fireplace | Picnic area | Outdoor furniture | Sun terrace | BBQ facilities (Additional charge) | Terrace | Garden,Doesn't have,Live sport events (broadcast) | Live music/performance (Additional charge) | Cooking class (Additional charge) | Tour or class about local culture | Happy hour | Themed dinner nights (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Movie nights | Temporary art galleries (Additional charge) | Beach | Yoga classes | Open-air bath | Evening entertainment | Beachfront | Kids' club | Private beach area | Horse riding (Off-site) | Cycling (Off-site) | Hiking (Off-site) | Karaoke | Children's playground | Games room | Fishing (Off-site),Coffee house on site | Fruits | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Snack bar | Breakfast in the room | Bar | Restaurant,WiFi is available in the hotel rooms and is free of charge.,Street parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Khachats Toun Heritage,8.8,Meghri,"12,000",Not Included,Double Room,Balcony,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,Armenian,,Doesn't have,Doesn't have
Areni Wine Art,9.2,Areni,"15,000",Included,Twin Room,Outdoor fireplace | Picnic area | Sun terrace | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,Temporary art galleries | Horse riding | Hiking | Children's playground,Coffee house on site | Fruits | Wine/champagne,WiFi is available in the hotel rooms and is free of charge.,Parking garage,Russian,Doesn't have,Doesn't have,Doesn't have
Ojakh Hotel,8.4,Ijevan,"15,000",Not Included,Large Double Room,Outdoor furniture | Sun terrace | Terrace,Doesn't have,Live sport events (broadcast) | Bike tours (Additional charge) | Walking tours (Additional charge) | Bicycle rental (additional charge) | Billiards (Additional charge),Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Snack bar | Breakfast in the room | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking | Parking garage | Secured parking,English | Russian,Hot tub/Jacuzzi (Additional charge) | Spa and wellness centre (Additional charge) | Sauna (Additional charge),Doesn't have,Doesn't have
Capsule hostel in the old city of Yerevan,7.8,Yerevan,"4,500",Not Included,Single Bed in Dormitory Room,Terrace | Garden,Doesn't have,Doesn't have,Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Zartonq guesthouse,8,Dzhul,"15,000",Included,Standard King Room,Doesn't have,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English,Doesn't have,Doesn't have,Doesn't have
Shushan B&B,9.5,Yeghegnadzor,"8,000",Included,Deluxe Double Room,Outdoor fireplace | Picnic area | Outdoor furniture | Sun terrace | BBQ facilities | Terrace | Garden,Doesn't have,Walking tours | Hiking | Games room | Fishing (Off-site),Coffee house on site | Fruits (Additional charge),WiFi is available in all areas and is free of charge.,,Arabic | English | Farsi | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
"Дома есть три спальни wi-fi туалет и душевой и можем дать еду которого вы захотите из нашего меню.В доме есть все необходимые условие. рядом в близости 3-4 км находится вайоц сар вымерший вулкан, сурб сион моностыр ест и вездеходная машина",,Gerger,"10,800",Included,Double Room,Doesn't have,Doesn't have,Doesn't have,Restaurant,No internet access available.,,Russian,Doesn't have,Doesn't have,Doesn't have
Lucy B&B,9.5,Goris,"10,000",Not Included,Twin Room with Shower,Balcony,Doesn't have,Doesn't have,Doesn't have,WiFi is available in public areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Mthnadzor,9.6,Goris,"16,000",Not Included,Large Twin Room,Outdoor fireplace | Barbecue | BBQ facilities | Terrace | Garden,Doesn't have,Cooking class (Additional charge) | Walking tours (Additional charge) | Badminton equipment | Cycling | Hiking (Additional charge) | Skiing,Coffee house on site | Fruits | Wine/champagne (Additional charge) | Kid meals (Additional charge) | Restaurant,WiFi is available in all areas and is free of charge.,Parking garage | Secured parking,English | Spanish | French | Russian,Sun loungers or beach chairs,Doesn't have,Doesn't have
Panorama hotel on Baghramyan avenue,9,Yerevan,"15,300",Not Included,Double Room with Balcony,Garden,Doesn't have,Tour or class about local culture (Additional charge) | Themed dinner nights (Additional charge) | Walking tours (Additional charge) | Hiking (Additional charge),Coffee house on site | Wine/champagne (Additional charge) | Kid meals (Additional charge) | Special diet menus (on request) | Bar | Restaurant | Minibar,WiFi is available in public areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
J&S,9.7,Vanadzor,"14,000",Not Included,Double or Twin Room,Outdoor fireplace | Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Barbecue | BBQ facilities | Patio | Terrace | Garden,Doesn't have,Live sport events (broadcast) | Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Themed dinner nights (Additional charge) | Walking tours (Additional charge) | Badminton equipment | Tennis equipment | Hiking (Additional charge) | Darts | Table tennis | Children's playground | Fishing (Additional charge),Fruits | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals | Special diet menus (on request) | Snack bar | Breakfast in the room | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking | Electric vehicle charging station,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Qobayr B&B,9,Tʼumanyan,"7,500",Not Included,Deluxe Quadruple Room,Balcony | Terrace | Garden,Doesn't have,Doesn't have,Restaurant,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Old Yerevan Hotel,8.5,Yerevan,"19,950",Not Included,Double or Twin Room with Private External Bathroom,Picnic area | Outdoor furniture | Sun terrace | Barbecue | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,Live music/performance (Additional charge) | Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Themed dinner nights (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Badminton equipment | Tennis equipment (Additional charge) | Evening entertainment (Additional charge) | Entertainment staff | Horse riding (Additional charge) | Cycling | Hiking | Table tennis | Billiards (Additional charge) | Children's playground | Games room,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid meals (Additional charge) | Special diet menus (on request) | Snack bar | Breakfast in the room | Bar | Restaurant,WiFi is available in all areas and is free of charge.,Street parking | Secured parking,English | Russian,Full body massage (Additional charge) | Hand massage (Additional charge) | Head massage (Additional charge) | Foot massage (Additional charge) | Neck massage (Additional charge) | Back massage (Additional charge) | Sun umbrellas | Massage (Additional charge),Doesn't have,Doesn't have
L-and-L,8.7,Aghavnadzor,"28,000",Not Included,Standard Twin Room with Mountain View,Picnic area | BBQ facilities | Terrace | Garden,Doesn't have,Cooking class (Additional charge) | Horse riding (Additional charge) | Table tennis | Sauna,Fruits | Wine/champagne | Kid meals | Special diet menus (on request) | Breakfast in the room | Bar,WiFi is available in all areas and is free of charge.,Street parking,English | French | Russian,,Doesn't have,Doesn't have
